web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1555502361-468,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@Latif5,عبداللطيف القطاع,"تبسيط لحَوكَمة #رؤية_2030 للملكة العربية #السعودية 

منقولpic.twitter.com/eo2uWKPbe8",1,31,69,1.55445E+12,4/5/2019 1:24,/Latif5/status/1114081324803985409
1555502361-751,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@AlanaziAziz7,عبد العزيز حمود العنزي,"”..high level skills, knowledge production and application, and providing opportunities for social mobility and strengthening equity social justice and democracy” 2/2
#2030Vision #رؤية_2030",,,,1.5235E+12,4/11/2018 19:14,/AlanaziAziz7/status/984253427294375936
1555502361-1122,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@TurkiShalhoub,تركي الشلهوب,"97% من الوظائف التي تم توليدها في الربع الـ3 ذهبت للاجانب!

#رؤية_2030 حرب ع المواطن:
مزيد من البطالة، مزيد من الفقر
http://www.maaal.com/archives/20161117/83098 …",61,445,281,1.47956E+12,11/19/2016 4:05,/TurkiShalhoub/status/799946652077453313
1555502361-1230,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@turki111_,تركي الحرقان,"#رويه_2030
مانشوف الدرب والرؤيه ضباب
والضمير الحي لايمكن يموت..
،،
،،
الضوامي موتها طرد السراب
والضماير موتها كثر السكوت..

#تركي_الحرقان",6,87,26,1.47492E+12,9/26/2016 12:14,/turki111_/status/780485608645033986
1555502361-1053,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@kingMideast,تركي السديري,#عاصفة_الحزم ابرز عناوين فشل #رؤية_2030 pic.twitter.com/T6Jsr4kkpn,,107,144,1.48779E+12,2/22/2017 10:30,/kingMideast/status/834470311441682434
1555502361-578,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@braa_almatrafi,Baraa_alhelil 🖤 🎓,"Is he future man
Is he first person in the world
Why he did all this
All his people can’t believe  this things !
he did all things for us
So off course we love him 
our future will be real in front eyes all people in the world
our future is #vision_2030 we proud him 
#we_love_mbspic.twitter.com/e9ACPgRwfD",,,1,1.54249E+12,11/17/2018 13:35,/braa_almatrafi/status/1063908633581445131
1555502361-614,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@Ahmedhakbani,أحمد بن عبدالعزيز الحقباني   🇸🇦,"ورشة عمل مع زملائي قيادات الجمارك في ديوان الهيئة و المنافذ لمناقشة إدارة التغيير وكيف نكون أفضل. ماضون نحو تحقيق #رؤية_2030  بلا تردد و بعزيمة جادة! 

#الجمارك_النسخة_الثانيةpic.twitter.com/zq3pzLZZKB",374,479,537,1.53838E+12,10/1/2018 1:13,/Ahmedhakbani/status/1046674361166565376
1555502361-763,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@KhalidAlsawalhi,Khalid Al Sawalhi,"#Saudi_Arabia wins #emerging_market status. FTSE Russell classifies kingdom as secondary emerging market

#FTSERussell #Tasi #Markets #SaudiArabia 
#أسواق_المال #تاسي_تداول #تاسي
#السعودية_٢٠٣٠ #السعودية 

https://bloom.bg/2pNvT1O pic.twitter.com/FXFNDf8z2e",,,,1.52227E+12,3/28/2018 13:47,/KhalidAlsawalhi/status/979097761890144257
1555502361-1059,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@HanyAHamid,Hany Mohy Abdelhamid,"#هاكاثون_بلوك_تشين
#blockchainriyadh
IBM Blockchain, technology enabler for national transformation mission in KSA #Vision_2030 pic.twitter.com/PCQY4gce7n",,,2,1.48685E+12,2/11/2017 13:28,/HanyAHamid/status/830528858566836226
1555502361-470,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@iEN_tv,قناة عين,"في جو من التفاعل والإبداع لـ #طالبات إدارة #تعليم_الرياض..

اختتام فعاليات برنامج السبت الإثرائي ""منظومة الاختراع"" بعرض مشاريع #الموهوبات المبنية على مباديء ""تريز"" و""سكامبر"" المساهمة في تحقيق #رؤية_2030 . 

@riyadh_edu 
@riyadh_gifted 
#قناة_عينpic.twitter.com/j8c5JlwkVe",1,33,38,1.55405E+12,3/31/2019 9:56,/iEN_tv/status/1112398371829047303
1555502361-805,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@JeddahEducation,إدارة تعليم جدة,"الآن ..
افتتاح #ملتقى_مبادر لطلاب #تعليم_جده الذي يهدف لغرس وتعزيز مفهوم العمل التطوعي لدى الطلاب بالشراكة مع شركة بن داود ولتحقيق #رؤية_2030 للوصول إلى مليون متطوع ويتضمن الملتقى محاضرات توعوية وورش عمل ينتج عنها 2500 ساعة عمل تطوعية و23 مبادرة pic.twitter.com/OlafhHPpgs",1,48,31,1.51811E+12,2/8/2018 8:49,/JeddahEducation/status/961643247654395904
1555502361-737,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@jsys_,ali kh,"Don't Think  More  About  The   FUTURE ,  It Brings Fear..
#رؤية_2030",,,,1.52536E+12,5/3/2018 8:05,/jsys_/status/992057656440426496
1555502361-550,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@Hatim_Almarzoky,حاتم المرزوقي  🇸🇦,"في هذا اليوم المجيد الذي نحتفل فيه بـ #ذكرى_البيعة_الرابعة نجدد الولاء لـ #خادم_الحرمين_الشريفين الملك سلمان بن عبدالعزيز. 
سائرون على خطاه ، ببذل قصارى الجهد للإسهام في مسيرة التطوير والعمل بكل عزيمة لتحقيق #رؤية_2030 .
نسأل الله تعالى التوفيق لمقامه الكريم وسمو ولي عهده الأمين.",14,85,168,1.54438E+12,12/9/2018 10:54,/Hatim_Almarzoky/status/1071840537735585798
1555502361-602,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@Adnan4011,"Adnan Almohammadi, #MBS","Every day in #Saudi_Arabia we are living with new hopes, vision, projects to diversiform & rise-up the economic resources ..  #vision_2030 
For that .. all behind the Kingdom leaders
#king_Salman and #HRH_Mohammed bin Salman    #رساله_حب_لمحمد_بن_سلمانpic.twitter.com/ipoIxGHRca",,5,5,1.53967E+12,10/15/2018 23:06,/Adnan4011/status/1052078197511245824
1555502361-1200,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@QOQO2012,حقوق المشاة,صورة: الحال المؤسف لأرصفة وممرات المشاة في شوارع العاصمة #الرياض !!! Cc: @saudimomra    #رؤية_2030 pic.twitter.com/20h2PbU0jd,17,124,22,1.4753E+12,9/30/2016 23:50,/QOQO2012/status/782110390314471424
1555502361-1088,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@binKhnin,حمد عبدالله بن خنين,"كيف سيتم توزيع الدعم النقدي للمواطنين؟ والذي سيبدأ تطبيقه في يونيو 2017
تقسم على خمس فئات حسب الدخل الشهري .
#ميزانية_الدولة_2017
#رؤية_2030 pic.twitter.com/Yx25SNj5jd",1,26,21,1.48247E+12,12/22/2016 20:13,/binKhnin/status/812149229602930688
